"SalePrice","OverallQual","GrLivArea","GarageCars","GarageArea","TotalBsmtSF","YearBuilt","FullBath","BedroomAbvGr","LotArea","Neighborhood"
101000,5,1111,1,288,530,1920,1,3,7200,"IDOTRR"
202500,8,1370,2,484,1370,2006,2,2,6442,"NridgHt"
140000,7,1710,2,480,576,1921,2,3,10300,"OldTown"
219500,7,2034,2,645,1057,1997,2,3,9375,"CollgCr"
317000,8,2473,3,852,1143,2004,2,4,9591,"NridgHt"
180000,7,2207,2,576,1947,1970,2,3,19900,"NAmes"
226000,7,1479,2,558,1453,2003,2,3,10665,"CollgCr"
80000,4,747,1,220,747,1945,1,2,4608,"OldTown"
225000,7,2287,2,667,1304,1953,2,3,15593,"ClearCr"
244000,7,2223,2,516,2223,1973,2,3,13651,"NAmes"
129500,4,845,2,360,845,1982,1,2,7599,"Mitchel"
185000,7,1718,2,427,832,1998,2,3,10141,"Gilbert"
144900,5,1086,2,490,1086,1954,1,3,10200,"NAmes"
107400,3,1605,1,379,840,1915,2,3,5790,"OldTown"
91000,4,988,1,297,462,1973,1,2,1596,"MeadowV"
135750,4,952,1,283,952,1956,1,2,8475,"NAmes"
127000,5,1285,1,240,672,1948,1,2,8635,"BrkSide"
136500,4,1768,0,0,1768,1968,2,4,10778,"Sawyer"
110000,5,1230,2,440,440,1910,1,2,10440,"OldTown"
193500,6,2142,1,509,896,1968,2,4,13000,"NAmes"
153500,6,1337,2,405,1237,1998,2,2,4500,"Mitchel"
245000,8,1563,3,758,1563,2007,2,3,10206,"Somerst"
126500,5,1065,2,461,1065,1960,1,3,8892,"NAmes"
168500,7,1474,2,400,384,1995,2,3,8530,"Gilbert"
260000,8,2417,2,462,1288,1991,2,4,16059,"NoRidge"
174000,6,1560,2,400,684,2005,2,3,11911,"Gilbert"
164500,6,1224,2,528,612,2009,2,2,3951,"Somerst"
85000,3,1526,0,0,1013,1915,1,2,8470,"IDOTRR"
123600,4,990,0,0,990,1994,1,3,8070,"CollgCr"
109900,4,1040,2,420,0,1950,1,2,7200,"NAmes"
98600,5,1235,2,480,1235,1961,1,2,8500,"NAmes"
163500,5,964,2,432,876,1921,1,2,13360,"Crawfor"
133900,6,2291,2,506,1214,1910,2,4,7200,"OldTown"
204750,6,1786,2,684,824,1997,2,3,9337,"CollgCr"
185000,6,1470,2,420,680,1993,2,3,9765,"Gilbert"
214000,7,1588,2,472,1588,1999,2,3,10264,"CollgCr"
94750,4,960,1,432,960,1965,1,3,10921,"Edwards"
83000,5,835,1,366,458,1920,1,2,10625,"Edwards"
128950,4,1225,0,0,950,1959,1,3,9320,"NAmes"
205000,6,1610,2,480,1610,1977,2,3,10603,"NWAmes"
178000,6,1732,2,476,741,1985,2,3,9206,"SawyerW"
118964,5,1535,2,410,0,1979,2,4,7018,"SawyerW"
198900,7,1226,3,740,1226,2009,2,3,10402,"CollgCr"
169500,7,1818,1,240,1040,1931,1,4,7758,"IDOTRR"
250000,8,1992,2,648,1053,2003,2,3,9375,"Somerst"
100000,4,1047,1,273,641,1885,1,2,10800,"OldTown"
115000,5,789,1,250,789,1948,1,2,6000,"OldTown"
115000,5,1517,0,0,793,1919,2,3,8500,"IDOTRR"
190000,6,1844,2,546,1844,1977,2,3,11751,"NWAmes"
136900,6,1855,1,325,994,1954,2,4,9525,"Edwards"
180000,7,1430,2,400,384,2000,2,3,7750,"Gilbert"
383970,7,2696,3,792,1264,2007,2,4,9965,"CollgCr"
217000,6,2259,2,450,1809,1953,2,3,21000,"Crawfor"
259500,6,2320,1,180,1028,1945,2,3,7259,"Crawfor"
176000,6,1458,2,440,729,1999,2,2,3230,"Somerst"
139000,5,1092,1,288,1092,1962,1,3,11616,"Sawyer"
155000,5,1125,2,430,1125,2006,1,2,8536,"Edwards"
320000,7,3222,3,594,1673,1990,3,5,12376,"SawyerW"
163990,6,1456,2,390,728,2005,2,3,8461,"CollgCr"
180000,6,988,2,540,938,1969,1,1,21453,"ClearCr"
100000,4,1123,1,264,732,1939,1,3,6060,"IDOTRR"
136000,6,1080,1,288,1080,1958,1,3,9464,"NAmes"
153900,6,1199,2,530,1199,1993,2,2,7892,"SawyerW"
181000,6,1586,2,435,1362,1979,2,3,17043,"NWAmes"
84500,6,754,0,0,520,1935,1,2,6780,"IDOTRR"
128000,6,958,2,440,1078,1976,2,2,4928,"NPkVill"
87000,5,840,0,0,672,1930,1,3,4388,"OldTown"
155000,6,1348,2,453,660,1966,1,3,7590,"NAmes"
150000,5,1053,2,750,1008,1958,1,3,8973,"NAmes"
226000,7,2157,2,487,924,1966,2,4,14200,"NAmes"
244000,6,2054,2,390,992,2000,2,3,12224,"Gilbert"
150750,5,1327,2,624,1063,1959,1,3,7388,"NAmes"
220000,8,1296,2,471,1267,2001,2,2,6853,"Timber"
180000,5,1721,2,440,1461,1968,2,3,10335,"Sawyer"
174000,7,1682,2,530,1304,1970,2,3,10400,"NWAmes"
143000,5,1214,1,318,1214,1967,2,3,10355,"NAmes"
171000,7,1959,3,766,1907,1988,3,5,11070,"Mitchel"
230000,8,1852,3,660,1004,1999,2,3,9066,"CollgCr"
231500,6,1764,2,470,928,1997,2,3,15426,"CollgCr"
115000,4,864,0,0,864,1971,1,3,10500,"NAmes"
260000,7,1734,2,660,1734,2005,2,3,11645,"CollgCr"
166000,5,1385,2,720,910,1952,2,4,8520,"NAmes"
204000,7,1501,2,577,1490,1999,2,3,10335,"CollgCr"
125000,5,1728,2,504,1728,1963,2,6,9100,"Sawyer"
130000,6,1709,2,380,970,2004,2,3,2522,"Edwards"
105000,5,875,1,180,715,1931,1,2,6120,"BrkSide"
222500,7,2035,2,434,884,2001,2,3,9505,"Gilbert"
141000,7,1080,0,0,1080,2004,1,3,7500,"SawyerW"
115000,5,1344,1,240,896,1936,1,3,6240,"BrkSide"
122000,5,969,2,440,969,1975,1,3,10356,"CollgCr"
372402,8,1710,3,866,1710,2007,2,2,13891,"NridgHt"
190000,6,1993,2,495,825,1971,2,4,14803,"NWAmes"
235000,6,1252,2,564,1602,1960,1,1,13500,"ClearCr"
125000,6,1200,1,312,1200,1923,1,4,11340,"OldTown"
79000,6,1096,0,0,572,1924,1,2,9600,"Edwards"
109500,5,1040,2,625,0,1950,1,2,7200,"NAmes"
269500,8,1968,3,680,774,2009,2,4,12003,"Timber"
254900,7,1947,2,678,991,2004,2,3,12552,"Somerst"
320000,7,2462,2,576,1392,2005,2,4,19378,"Gilbert"
162500,6,1232,2,516,1232,1984,2,3,11120,"Veenker"
412500,9,2668,3,726,1572,2003,2,3,13688,"NridgHt"
220000,7,1541,2,532,1541,2005,2,3,12182,"NridgHt"
103200,4,882,0,0,882,1956,1,1,5500,"OldTown"
152000,6,1616,1,216,1149,1926,2,3,5400,"OldTown"
127500,5,1355,0,0,644,1940,2,4,10106,"Edwards"
190000,5,1867,1,303,1617,1955,1,2,10708,"ClearCr"
325624,8,2161,3,789,1582,2007,1,3,10562,"NridgHt"
183500,7,1720,2,440,840,2004,2,3,8244,"Gilbert"
228000,8,1707,2,511,1686,1981,2,2,16669,"Timber"
128500,5,1382,2,660,720,1941,1,2,12358,"OldTown"
215000,6,1656,2,528,1080,1960,1,3,31770,"NAmes"
239000,7,1767,2,504,1064,1987,2,2,5306,"StoneBr"
163000,6,1362,2,504,1362,1961,1,3,10197,"NAmes"
184000,6,1651,2,616,1606,1986,2,3,12416,"Timber"
243000,6,2158,2,576,1202,1950,2,4,12615,"Edwards"
211000,6,2060,2,521,1151,1988,2,4,10029,"ClearCr"
172500,5,1920,2,451,1052,1958,2,4,13650,"Sawyer"
501837,9,2234,3,1166,2216,2008,2,1,17423,"StoneBr"
100000,5,968,2,480,968,1923,1,2,8520,"OldTown"
177000,6,1525,2,440,756,2000,2,3,2117,"Somerst"
200100,7,1802,1,216,793,1920,1,4,7588,"Crawfor"
120000,5,1340,1,252,0,1957,1,3,9060,"Edwards"
200000,7,2082,2,484,1362,2003,2,3,11426,"OldTown"
127000,5,1252,2,576,504,1908,1,3,7438,"BrkSide"
475000,10,3608,3,840,1107,1892,2,4,22950,"OldTown"
173000,7,1217,2,497,1188,1990,2,3,9947,"Mitchel"
135000,5,1656,1,180,660,1916,2,3,10410,"OldTown"
153337,5,1224,2,528,1086,1979,0,2,7018,"SawyerW"
286000,8,1593,2,682,1593,2001,1,0,4923,"StoneBr"
315000,8,2727,2,440,853,1932,2,3,10570,"Crawfor"
184000,7,1479,2,484,725,1972,1,4,7472,"NAmes"
192000,7,1431,2,666,1431,1999,2,3,9017,"CollgCr"
130000,7,1709,2,380,970,2004,2,3,2522,"Edwards"
127000,5,864,1,352,864,1972,1,3,7180,"CollgCr"
148500,6,1456,2,440,855,1976,2,3,2280,"NPkVill"
311872,7,1726,3,786,1726,2007,2,3,9416,"Somerst"
235000,8,3112,2,795,1360,1918,2,4,25419,"NAmes"
104000,6,2229,0,0,755,1912,1,5,5520,"OldTown"
274900,8,1713,3,856,1713,2004,2,3,9591,"NridgHt"
140000,4,1121,2,440,1121,2003,2,2,8546,"Edwards"
171500,6,1279,2,473,1196,1977,2,3,10125,"Mitchel"
112000,6,1310,1,398,617,1924,2,2,7000,"OldTown"
149000,6,848,2,420,848,2004,1,1,4438,"CollgCr"
110000,5,1284,1,240,720,1947,1,2,3500,"OldTown"
180500,7,1442,2,500,1424,1990,2,3,11851,"Gilbert"
143900,5,1696,1,349,1140,1962,1,3,13673,"Sawyer"
141000,4,1100,1,312,1100,1960,1,3,12493,"NAmes"
277000,7,2062,2,454,1157,1988,2,3,14364,"SawyerW"
145000,6,1092,2,504,1092,1964,1,3,8250,"NAmes"
98000,5,864,0,0,864,1925,1,2,5604,"Edwards"
186000,6,1212,2,460,1212,2009,2,3,10420,"Edwards"
252678,7,1852,2,644,900,2009,2,3,8640,"Somerst"
156000,5,990,2,576,990,1995,1,3,13568,"CollgCr"
161750,6,1392,1,299,689,1977,1,3,10900,"CollgCr"
134450,5,1236,1,447,1070,1957,1,2,10011,"NAmes"
210000,7,1436,2,484,1436,2004,2,3,8450,"CollgCr"
107000,4,1328,1,210,686,1925,1,3,9906,"OldTown"
311500,7,1954,2,431,798,1939,1,3,15660,"Crawfor"
167240,7,1248,2,438,1248,2005,2,2,3010,"Blmngtn"
204900,7,1498,2,675,1498,2006,2,2,8990,"CollgCr"
200000,6,2267,2,390,1010,2002,2,4,8068,"Gilbert"
179900,6,1552,2,434,713,1975,2,3,11475,"NWAmes"
97000,4,864,2,576,864,1971,1,2,10500,"NAmes"
386250,10,2392,3,968,2392,2003,2,3,13472,"NridgHt"
112000,5,1302,1,280,630,1971,2,3,1680,"BrDale"
290000,7,2520,3,721,1203,1995,2,4,9950,"NoRidge"
106000,6,987,1,280,483,1970,1,2,1869,"BrDale"
125000,5,912,1,336,912,1967,1,3,8521,"Sawyer"
192500,7,1555,2,430,1373,2005,2,2,3182,"Blmngtn"
148000,6,1194,1,312,1194,1959,1,3,8760,"NAmes"
403000,8,2794,3,810,1462,1995,2,4,15138,"NoRidge"
94500,6,987,1,288,483,1972,1,2,1680,"BrDale"
128200,5,894,1,308,894,1976,1,3,10650,"CollgCr"
216500,6,1960,2,440,860,2002,2,4,7851,"Gilbert"
89500,6,987,1,264,483,1971,1,2,1680,"BrDale"
185500,7,1414,2,494,1414,2004,2,3,8773,"CollgCr"
194500,7,1744,2,457,996,1993,2,3,9453,"SawyerW"
318000,8,1694,3,818,1694,2007,2,3,12030,"NridgHt"
113000,6,1487,1,220,735,1945,1,3,8741,"Edwards"
262500,8,1566,2,750,1566,2008,2,3,9000,"Somerst"
110500,5,866,0,0,686,1945,1,2,3880,"OldTown"
79000,5,1440,1,352,540,1900,1,3,5000,"OldTown"
120000,6,1217,1,288,626,1980,1,3,10762,"SawyerW"
205000,7,2110,2,463,948,1994,2,3,8880,"SawyerW"
241500,7,1872,2,604,1845,1988,2,3,10400,"NWAmes"
137000,6,1928,1,440,1020,1910,2,4,9142,"OldTown"
140000,6,1375,2,451,1367,1954,1,2,11310,"NAmes"
180000,7,1668,2,500,840,2003,2,3,11317,"CollgCr"
277000,6,2144,2,389,1444,1958,2,4,159000,"ClearCr"
76500,3,1306,0,0,728,1940,1,3,5350,"BrkSide"
235000,8,1625,2,538,1573,2006,2,2,4750,"Crawfor"
173000,6,1640,2,520,798,2004,2,3,8366,"SawyerW"
158000,6,1302,1,309,1302,1964,2,3,9350,"NAmes"
145000,5,1314,1,294,1314,1957,1,3,8400,"NAmes"
230000,7,2291,2,429,975,1999,2,4,8738,"Gilbert"
207500,6,1728,2,673,864,2003,2,3,8791,"Somerst"
220000,7,1604,2,660,1604,2006,2,3,8814,"CollgCr"
231500,7,1792,2,564,963,2001,2,3,12435,"CollgCr"
97000,5,882,1,308,0,1956,1,2,12702,"OldTown"
176000,6,1382,2,884,1362,1962,1,3,19296,"NAmes"
276000,8,2574,3,868,1482,2007,2,3,9588,"CollgCr"
151000,6,1212,2,492,506,1977,1,3,8471,"Sawyer"
130000,5,1316,2,484,926,1929,1,3,5500,"OldTown"
73000,5,764,2,504,680,1925,1,2,5232,"OldTown"
175500,6,1422,2,576,1422,1981,2,3,12090,"NWAmes"
185000,6,1511,2,413,802,1997,2,3,11207,"Gilbert"
179500,5,2192,1,240,720,1939,2,4,8400,"SWISU"
120500,5,778,1,924,740,1940,1,2,6900,"IDOTRR"
148000,6,1113,1,504,1143,1976,1,3,7917,"Edwards"
266000,8,1939,3,1053,1095,2006,2,3,10728,"Somerst"
241500,7,1363,2,439,1385,1954,1,2,39104,"ClearCr"
290000,8,2270,3,671,1152,1999,2,4,11764,"NoRidge"
139000,6,1632,1,338,1240,1958,2,3,9600,"NAmes"
124500,5,816,1,264,816,1982,1,2,8314,"Mitchel"
205000,7,1548,2,672,952,1925,2,3,7264,"BrkSide"
201000,7,1560,2,573,1560,2003,2,3,9196,"Mitchel"
141000,4,864,2,400,864,1951,1,2,19138,"Gilbert"
415298,9,2121,3,732,2121,2006,2,3,14450,"NridgHt"
192000,7,2022,2,505,1160,1977,2,4,10005,"ClearCr"
228500,7,1982,2,575,807,1989,2,3,11287,"SawyerW"
185000,6,1262,2,572,1262,2006,2,2,7200,"Somerst"
207500,7,1314,2,626,1314,2007,2,2,5063,"NridgHt"
244600,8,1468,3,898,1468,2008,2,3,9612,"Somerst"
179200,6,1575,2,529,1575,1992,2,2,8012,"SawyerW"
164700,7,1250,2,528,625,2006,2,2,4251,"Somerst"
159000,6,1734,2,440,912,1962,1,3,9786,"NAmes"
88000,4,858,0,0,858,1971,1,3,8125,"NAmes"
122000,5,900,1,280,882,1967,1,3,9819,"Sawyer"
153575,6,1396,1,384,698,1915,1,3,8730,"BrkSide"
233230,8,1919,2,685,1079,2006,2,3,15611,"CollgCr"
135900,5,1716,0,0,780,1912,2,6,5687,"SWISU"
131000,5,1716,1,281,768,1949,1,3,11409,"Edwards"
235000,7,2263,2,539,795,1977,2,3,16659,"NWAmes"
167000,6,1644,2,418,1416,1953,1,3,9600,"NAmes"
142500,6,1003,2,588,1003,1984,1,3,7937,"Mitchel"
152000,5,1558,1,282,910,1950,1,4,13710,"IDOTRR"
239000,7,1950,2,576,975,1997,2,3,7399,"Somerst"
175000,6,1743,2,539,702,1968,1,3,11700,"NWAmes"
158500,6,1152,1,300,1092,1950,1,3,14000,"Crawfor"
157000,5,1336,1,375,1165,1953,1,2,15750,"Crawfor"
267000,8,2452,2,683,1028,1998,2,4,16226,"CollgCr"
205000,7,1541,3,843,1541,2001,2,3,13704,"CollgCr"
149900,5,894,2,552,894,1972,1,3,9800,"CollgCr"
295000,7,3493,3,870,1470,1880,3,3,18386,"OldTown"
305900,8,2000,3,888,2000,2004,2,3,10386,"CollgCr"
225000,7,2243,3,746,700,1990,2,4,13474,"SawyerW"
89500,6,1406,0,0,319,1920,1,3,7920,"IDOTRR"
82500,4,861,2,539,861,1940,1,1,12342,"Edwards"
360000,9,1944,3,708,1896,2003,2,3,12378,"NridgHt"
165600,6,1501,2,420,697,1993,2,3,7685,"Gilbert"
132000,6,972,1,240,972,1948,1,2,8000,"NAmes"
119900,5,1118,2,410,793,1939,1,3,7800,"OldTown"
375000,7,2036,2,513,2136,1965,2,3,215245,"Timber"
178000,7,1641,2,546,728,1925,1,3,9600,"OldTown"
188500,7,1432,2,432,716,2004,2,3,7795,"Gilbert"
260000,7,2353,2,484,845,1980,2,4,13005,"NWAmes"
270000,8,1959,3,1025,1088,2006,2,3,9000,"Somerst"
260000,7,2646,3,656,1347,1993,2,4,9900,"NoRidge"
187500,7,1472,2,588,1372,1980,2,3,14115,"NWAmes"
342643,9,2596,3,840,1249,2006,3,4,16259,"NridgHt"
354000,8,2468,3,872,1136,2004,2,4,12099,"NridgHt"
301000,7,2730,2,576,1502,1986,2,4,10380,"SawyerW"
126175,3,1163,1,220,1162,1955,1,3,5820,"OldTown"
242000,7,2978,2,564,710,1967,2,5,11275,"NAmes"
87000,5,803,2,360,720,1941,1,2,5000,"IDOTRR"
324000,8,1719,2,473,1719,1993,1,1,10846,"Veenker"
145250,6,1383,1,292,1383,1960,1,3,11600,"NAmes"
214500,6,2134,2,441,844,1916,2,5,11888,"BrkSide"
78000,5,1192,1,189,596,1920,1,3,6402,"IDOTRR"
119000,5,1728,1,352,1728,1964,2,6,10624,"NAmes"
139000,5,1056,1,308,1056,1958,1,3,8176,"NAmes"
284000,8,1629,3,880,3206,2003,2,3,10655,"NridgHt"
207000,7,1358,2,484,1358,2004,2,2,8198,"NridgHt"
192000,6,1638,2,472,943,1998,2,3,9042,"Gilbert"
228950,5,1786,2,529,1499,1965,2,3,164660,"Timber"
377426,9,1922,3,676,1922,2005,2,3,14157,"StoneBr"
214000,7,1536,2,532,1536,2002,2,3,9135,"CollgCr"
202500,7,1621,2,440,1208,1984,2,3,14145,"NWAmes"
155000,6,1215,1,297,1215,1958,1,3,12400,"NAmes"
202900,8,1908,2,431,967,2002,2,4,14191,"Timber"
82000,4,841,1,294,721,1950,1,2,8400,"SawyerW"
87500,3,1040,2,400,0,1949,2,2,8544,"NAmes"
266000,9,1684,2,564,1684,2005,2,2,8849,"NridgHt"
85000,5,1112,1,336,536,1976,1,3,2592,"MeadowV"
140200,6,1577,1,312,972,1939,1,3,6435,"BrkSide"
151500,6,958,1,301,958,1960,1,2,12772,"NAmes"
157500,6,1478,2,498,1478,1960,2,3,17600,"NAmes"
154000,7,1626,2,474,764,2003,2,2,2448,"NridgHt"
437154,9,2728,3,706,1848,2005,2,4,20431,"NridgHt"
318061,9,1869,2,617,1869,2007,2,2,7820,"NridgHt"
190000,7,1453,2,445,1453,1986,1,2,5271,"ClearCr"
95000,5,1111,1,200,616,1941,1,3,9084,"Edwards"
105900,6,720,2,484,624,1928,1,2,8520,"OldTown"
140000,6,1595,1,240,940,1940,1,2,8400,"SWISU"
177500,6,1200,2,521,1200,1995,2,3,11249,"CollgCr"
173000,6,1167,2,400,1158,1992,2,3,9248,"Gilbert"
134000,5,1142,2,528,1142,1976,1,3,4224,"MeadowV"
130000,5,1352,1,288,1062,1958,1,3,6930,"ClearCr"
280000,8,1924,2,592,1086,1998,2,3,12011,"NoRidge"
156000,6,912,2,470,888,1978,1,2,7540,"Mitchel"
145000,5,1505,1,240,883,1940,1,3,9144,"BrkSide"
198500,7,1922,2,672,0,2003,3,4,7301,"Edwards"
118000,6,987,1,264,483,1972,1,2,1680,"BrDale"
190000,6,1574,2,566,796,1976,2,3,18800,"NWAmes"
147000,5,1344,1,468,672,1920,1,3,10690,"IDOTRR"
159000,6,1394,2,514,1394,1963,1,3,9500,"NAmes"
165000,6,1431,1,296,1099,1962,1,3,9150,"NAmes"
132000,5,1268,1,244,1268,1954,1,2,7800,"NAmes"
162000,5,1287,2,576,1063,1959,1,3,9830,"NAmes"
172400,6,1664,2,460,953,2000,2,3,8121,"Gilbert"
134432,4,1588,2,680,0,1959,2,4,17120,"ClearCr"
125000,6,752,1,264,744,1984,1,2,7175,"SawyerW"
123000,5,1319,1,270,608,1953,1,3,10634,"NAmes"
219500,7,1928,2,434,847,2003,2,4,8200,"CollgCr"
61000,1,904,0,0,683,1922,0,1,10020,"Edwards"
148000,5,914,2,576,870,1996,1,2,8846,"CollgCr"
340000,8,2466,2,610,1580,2004,3,4,11143,"Somerst"
394432,9,1856,3,834,1856,2010,1,1,11394,"StoneBr"
179000,6,1800,2,463,982,2000,2,3,8123,"Gilbert"
127000,5,1691,1,308,1026,1924,2,3,5000,"SWISU"
187750,7,1301,2,572,1293,2006,2,2,7200,"Somerst"
213500,7,1797,2,639,939,2006,2,3,9245,"CollgCr"
76000,6,784,2,360,784,1928,1,2,9000,"SawyerW"
240000,6,1953,2,501,1580,1992,2,3,53107,"ClearCr"
192000,8,1269,2,430,1256,2004,2,2,3182,"Blmngtn"
81000,5,1184,0,0,658,1910,1,5,8410,"Edwards"
125000,6,1125,1,352,1041,1976,1,3,7200,"Edwards"
191000,7,1479,2,577,1468,1999,2,3,9382,"CollgCr"
426000,10,2332,3,846,1682,2007,2,3,12474,"NridgHt"
119000,5,1367,1,384,861,1900,1,4,8405,"Edwards"
215000,6,1961,2,560,804,2001,2,3,12209,"Mitchel"
106500,5,882,1,294,0,1959,1,3,8339,"NAmes"
100000,4,788,0,0,788,1941,1,2,7446,"BrkSide"
109000,5,1034,1,240,735,1940,1,2,10134,"OldTown"
129000,5,1144,1,596,1144,1956,1,3,9571,"Edwards"
123000,5,894,2,600,894,1972,1,2,7200,"CollgCr"
169500,5,1812,1,264,864,1962,2,4,7590,"NAmes"
67000,5,1077,1,338,961,1920,1,2,8967,"IDOTRR"
241000,7,1550,2,438,1092,2006,2,2,8125,"Somerst"
245500,8,1288,2,500,1260,1996,1,1,14963,"Veenker"
164990,7,1310,2,400,1310,2005,2,3,8767,"CollgCr"
108000,5,672,1,240,672,1940,1,2,10200,"Sawyer"
258000,8,2263,2,420,1141,1998,2,4,12090,"NoRidge"
168000,6,1572,2,373,806,1995,2,3,10364,"Gilbert"
150000,4,1620,2,490,1281,1976,2,3,9991,"Sawyer"
115000,6,1639,1,240,1064,1936,1,3,10480,"SWISU"
177000,6,1680,1,308,840,1915,2,4,15576,"Crawfor"
280000,7,2172,3,947,1063,2006,2,3,14154,"NridgHt"
339750,8,2078,3,836,1034,2007,2,3,10800,"Somerst"
60000,5,1276,1,350,1276,1958,1,3,9571,"Edwards"
145000,5,1056,2,572,1056,1955,1,3,34650,"Gilbert"
222000,7,1478,2,484,1470,2009,2,2,4403,"Somerst"
115000,5,1028,2,360,1008,1927,1,2,8960,"OldTown"
228000,7,2097,3,678,1080,1993,2,3,11228,"SawyerW"
181134,7,1340,2,396,1340,2007,2,3,8899,"Gilbert"
149500,6,1400,2,440,672,1978,1,3,7844,"Sawyer"
239000,6,2624,3,864,1370,1918,2,4,22420,"Crawfor"
126000,5,1134,1,240,756,1940,1,3,8160,"Edwards"
142000,5,1056,1,304,1056,1968,1,3,8450,"NAmes"
206300,7,1344,4,784,1344,1997,2,2,7060,"Mitchel"
215000,6,1602,2,529,1602,1977,2,3,16635,"NWAmes"
113000,5,988,2,520,988,1954,1,2,21750,"Mitchel"
315000,8,2630,3,696,1470,1998,2,4,9200,"NoRidge"
139000,6,1196,1,297,1196,1956,1,2,9000,"NAmes"
135000,7,1389,1,240,651,1946,1,3,3378,"OldTown"
275000,7,1644,2,569,1518,1989,2,2,12800,"SawyerW"
109008,4,907,1,352,907,1957,1,3,8593,"NAmes"
195400,7,1208,2,628,1208,2007,2,2,6762,"CollgCr"
175000,6,1412,2,576,1392,1988,2,3,11457,"Timber"
85400,6,987,1,264,483,1971,1,2,1680,"BrDale"
79900,6,1198,0,0,901,1920,1,4,5586,"OldTown"
